S.No,Age_Group,Gender,Income,Purchase_Frequency,Avg_Purchase_Value,Loyalty_Member,Years_Shopping,Device_Used,Preferred_Category,Discount_%,Validity_Days,Min_Purchase_Required,Coupon_Category,Redeemed
44,36-45,Male,5-10L,Weekly,10000.0,Yes,3-5,Both,Home & Furniture,40.0,30.0,2000.0,Home & Furniture,No
45,55+,Male,5L-10L,Weekly,5000.0,No,1-3,Desktop,Electronics,30.0,30.0,1000.0,Fashion,No
46,55+,Male,<2L,Quarterly,5000.0,Yes,3-5,Mobile,Electronics,10.0,7.0,1000.0,Electronics,No
47,36-45,Male,5-10L,Weekly,10000.0,Yes,1-3,Mobile,Home & Furniture,30.0,7.0,5000.0,Home & Furniture,Yes
48,26-35,Male,5-10L,Quarterly,15000.0,No,5+,Mobile,Electronics,25.0,15.0,2000.0,Groceries,No
49,55+,Male,5-10L,Quarterly,15000.0,No,1-3,Both,Electronics,30.0,60.0,500.0,Home & Furniture,No
50,18-25,Male,10-20L,Weekly,5000.0,No,5+,Mobile,Fashion,30.0,30.0,5000.0,Groceries,Yes
51,26-35,Male,>20L,Rarely,5000.0,No,3-5,Both,Electronics,30.0,30.0,500.0,Fashion,No
52,18-25,Male,<2,Rarely,5000.0,No,1-3,Mobile,Electronics,40.0,7.0,5000.0,Fashion,No
53,55+,Female,5-10L,Rarely,10000.0,Yes,3-5,Mobile,Books,30.0,30.0,2000.0,Fashion,Yes
54,46-55,Female,<2,Weekly,20000.0,Yes,3-5,Desktop,Home & Furniture,50.0,60.0,500.0,Home & Furniture,No
57,36-45,Female,>20L,Weekly,3000.0,Yes,<1,Both,Fashion,30.0,15.0,1000.0,Home & Furniture,Yes
58,46-55,Male,<2,Quarterly,15000.0,No,3-5,Mobile,Electronics,10.0,15.0,1000.0,Groceries,No
59,18-25,Female,<2L,Rarely,7000.0,No,3-5,Both,Home & Furniture,30.0,30.0,1000.0,Groceries,Yes
60,18-25,Male,>20L,Weekly,5000.0,No,1-3,Both,Fashion,30.0,60.0,500.0,Home & Furniture,Yes
61,46-55,Female,10-20L,Weekly,7000.0,No,3-5,Mobile,Home & Furniture,25.0,7.0,500.0,Home & Furniture,No
63,46-55,Male,5L-10L,Weekly,5000.0,No,5+,Desktop,Home & Furniture,30.0,60.0,2000.0,Fashion,Yes
64,55+,Female,5-10L,Weekly,20000.0,No,<1,Mobile,Home & Furniture,50.0,7.0,2000.0,Groceries,No
65,46-55,Male,<2L,Quarterly,10000.0,Yes,<1,Mobile,Fashion,30.0,15.0,2000.0,Fashion,Yes
66,46-55,Female,5L-10L,Weekly,10000.0,No,3-5,Both,Fashion,30.0,30.0,2000.0,Fashion,Yes
67,46-55,Female,5L-10L,Rarely,7000.0,Yes,<1,Mobile,Electronics,30.0,30.0,1000.0,Home & Furniture,No
68,26-35,Male,5-10L,Quarterly,10000.0,No,1-3,Desktop,Home & Furniture,30.0,30.0,10000.0,Electronics,No
69,18-25,Male,>20L,Quarterly,12000.0,No,3-5,Desktop,Books,40.0,30.0,500.0,Books,No
72,36-45,Female,10-20L,Quarterly,10000.0,Yes,3-5,Desktop,Electronics,40.0,15.0,1000.0,Books,No
73,55+,Male,2-5L,Quarterly,5000.0,Yes,3-5,Mobile,Electronics,20.0,30.0,2000.0,Home & Furniture,Yes
74,55+,Female,5-10L,Bi-weekly,5000.0,Yes,5+,Both,Home & Furniture,50.0,60.0,2000.0,Fashion,No
75,18-25,Male,5-10L,Quarterly,15000.0,Yes,<1,Mobile,Fashion,15.0,60.0,5000.0,Electronics,Yes
76,26-35,Male,>20L,Monthly,20000.0,No,3-5,Mobile,Electronics,30.0,15.0,1000.0,Home & Furniture,No
77,26-35,Female,2-5L,Quarterly,5000.0,Yes,3-5,Mobile,Fashion,30.0,7.0,1000.0,Home & Furniture,Yes
78,46-55,Female,2-5L,Weekly,5000.0,Yes,3-5,Desktop,Electronics,40.0,30.0,500.0,Electronics,No
79,46-55,Male,10-20L,Rarely,10000.0,No,3-5,Mobile,Electronics,20.0,30.0,5000.0,Fashion,Yes
80,55+,Male,<2L,Rarely,12000.0,Yes,1-3,Both,Electronics,30.0,7.0,1000.0,Home & Furniture,No
81,46-55,Male,10-20L,Weekly,10000.0,Yes,5+,Desktop,Electronics,30.0,7.0,1000.0,Home & Furniture,No
82,36-45,Male,2-5L,Weekly,15000.0,Yes,5+,Mobile,Fashion,10.0,60.0,500.0,Fashion,Yes
83,55+,Male,>20L,Weekly,15000.0,Yes,<1,Both,Home & Furniture,20.0,7.0,1000.0,Fashion,No
84,55+,Female,2-5L,Weekly,5000.0,Yes,3-5,Desktop,Groceries,20.0,60.0,5000.0,Books,No
86,18-25,Male,5-10L,Rarely,5000.0,No,<1,Mobile,Home & Furniture,15.0,30.0,5000.0,Electronics,No
87,55+,Female,5-10L,Quarterly,15000.0,Yes,<1,Desktop,Groceries,20.0,60.0,1000.0,Fashion,No
88,55+,Male,>20L,Weekly,10000.0,Yes,<1,Mobile,Books,50.0,30.0,500.0,Home & Furniture,No
89,26-35,Male,<2,Weekly,20000.0,Yes,1-3,Mobile,Home & Furniture,30.0,30.0,5000.0,Fashion,Yes
90,36-45,Male,>20L,Weekly,10000.0,Yes,1-3,Mobile,Groceries,30.0,7.0,5000.0,Home & Furniture,No
91,55+,Male,>20L,Weekly,12000.0,No,3-5,Both,Fashion,15.0,7.0,1000.0,Fashion,Yes
92,55+,Male,>20L,Bi-weekly,5000.0,No,<1,Both,Electronics,15.0,30.0,5000.0,Fashion,Yes
93,36-45,Male,5-10L,Quarterly,5000.0,No,1-3,Mobile,Electronics,15.0,30.0,1000.0,Groceries,No
94,36-45,Male,<2,Weekly,20000.0,No,5+,Desktop,Fashion,20.0,30.0,1000.0,Fashion,Yes
95,55+,Male,5L-10L,Bi-weekly,10000.0,Yes,5+,Mobile,Fashion,20.0,30.0,5000.0,Electronics,Yes
96,46-55,Male,5L-10L,Weekly,20000.0,No,5+,Both,Electronics,25.0,30.0,500.0,Home & Furniture,Yes
97,36-45,Male,2-5L,Weekly,5000.0,No,1-3,Desktop,Groceries,30.0,30.0,500.0,Books,No
98,55+,Female,>20L,Quarterly,10000.0,Yes,5+,Mobile,Electronics,10.0,30.0,2000.0,Home & Furniture,No
99,18-25,Male,5L-10L,Weekly,10000.0,No,5+,Both,Home & Furniture,50.0,15.0,5000.0,Fashion,No
100,55+,Male,10-20L,Weekly,3000.0,No,1-3,Mobile,Electronics,50.0,7.0,1000.0,Electronics,No
101,55+,Male,>20L,Monthly,10000.0,No,1-3,Mobile,Electronics,25.0,30.0,500.0,Groceries,Yes
102,55+,Female,>20L,Rarely,15000.0,Yes,<1,Mobile,Electronics,60.0,15.0,500.0,Electronics,No
104,55+,Female,10-20L,Quarterly,7000.0,Yes,1-3,Mobile,Electronics,25.0,15.0,500.0,Home & Furniture,No
105,55+,Male,>20L,Weekly,10000.0,Yes,5+,Both,Home & Furniture,40.0,30.0,5000.0,Fashion,No
106,55+,Female,5-10L,Monthly,12000.0,Yes,3-5,Mobile,Electronics,50.0,60.0,1000.0,Home & Furniture,No
107,36-45,Male,5L-10L,Bi-weekly,15000.0,No,<1,Desktop,Electronics,40.0,60.0,5000.0,Books,No
108,55+,Male,<2,Monthly,7000.0,Yes,3-5,Mobile,Electronics,20.0,60.0,1000.0,Home & Furniture,Yes
109,18-25,Male,5-10L,Quarterly,10000.0,No,5+,Mobile,Books,30.0,60.0,1000.0,Groceries,No
110,55+,Male,2-5L,Monthly,7000.0,Yes,1-3,Mobile,Books,30.0,7.0,1000.0,Fashion,Yes
111,36-45,Female,5-10L,Quarterly,20000.0,No,1-3,Desktop,Electronics,20.0,7.0,10000.0,Home & Furniture,No
112,26-35,Male,<2,Rarely,15000.0,No,<1,Mobile,Books,30.0,15.0,2000.0,Groceries,No
113,26-35,Male,<2,Rarely,10000.0,No,3-5,Mobile,Books,10.0,7.0,2000.0,Home & Furniture,No
114,46-55,Male,5-10L,Weekly,5000.0,No,5+,Mobile,Home & Furniture,15.0,60.0,1000.0,Home & Furniture,No
118,55+,Female,>20L,Quarterly,7000.0,No,3-5,Mobile,Electronics,50.0,30.0,500.0,Home & Furniture,Yes
119,36-45,Male,>20L,Quarterly,10000.0,No,3-5,Both,Electronics,50.0,7.0,2000.0,Electronics,No
120,46-55,Female,2-5L,Rarely,3000.0,No,<1,Mobile,Electronics,30.0,30.0,5000.0,Home & Furniture,Yes
122,46-55,Male,5-10L,Quarterly,12000.0,Yes,5+,Mobile,Fashion,40.0,7.0,500.0,Electronics,Yes
123,18-25,Male,<2,Quarterly,10000.0,No,5+,Desktop,Fashion,30.0,15.0,500.0,Electronics,No
125,18-25,Male,5-10L,Weekly,5000.0,Yes,3-5,Mobile,Electronics,30.0,30.0,1000.0,Home & Furniture,No
126,36-45,Male,5L-10L,Bi-weekly,10000.0,No,<1,Desktop,Electronics,25.0,30.0,500.0,Home & Furniture,No
128,18-25,Male,5L-10L,Rarely,3000.0,No,5+,Desktop,Electronics,40.0,15.0,5000.0,Fashion,No
129,18-25,Male,5-10L,Quarterly,10000.0,No,3-5,Mobile,Fashion,40.0,60.0,5000.0,Books,No
130,46-55,Male,10-20L,Rarely,10000.0,No,3-5,Both,Electronics,30.0,7.0,1000.0,Groceries,Yes
131,26-35,Male,5-10L,Weekly,7000.0,Yes,3-5,Mobile,Books,10.0,60.0,1000.0,Fashion,No
132,55+,Female,5-10L,Weekly,10000.0,No,3-5,Both,Fashion,30.0,15.0,500.0,Home & Furniture,Yes
133,46-55,Male,5-10L,Weekly,10000.0,No,3-5,Mobile,Books,30.0,30.0,1000.0,Electronics,No
134,36-45,Male,>20L,Rarely,10000.0,No,<1,Mobile,Electronics,25.0,30.0,1000.0,Home & Furniture,No
135,46-55,Male,5-10L,Weekly,10000.0,No,5+,Mobile,Fashion,30.0,60.0,500.0,Home & Furniture,Yes
136,18-25,Female,5-10L,Monthly,10000.0,No,5+,Desktop,Books,50.0,30.0,5000.0,Fashion,Yes
137,55+,Male,5-10L,Weekly,5000.0,No,3-5,Desktop,Home & Furniture,50.0,7.0,2000.0,Home & Furniture,No
138,36-45,Male,5-10L,Weekly,7000.0,Yes,3-5,Mobile,Electronics,50.0,30.0,1000.0,Home & Furniture,Yes
139,55+,Male,<2,Quarterly,5000.0,No,1-3,Both,Fashion,30.0,30.0,500.0,Books,Yes
140,18-25,Male,>20L,Quarterly,12000.0,No,<1,Mobile,Electronics,30.0,7.0,2000.0,Home & Furniture,Yes
141,55+,Male,5-10L,Quarterly,12000.0,Yes,<1,Mobile,Electronics,20.0,15.0,2000.0,Fashion,No
142,36-45,Male,10-20L,Weekly,15000.0,Yes,1-3,Mobile,Electronics,15.0,15.0,2000.0,Home & Furniture,No
143,55+,Male,<2L,Rarely,7000.0,Yes,3-5,Mobile,Electronics,30.0,60.0,1000.0,Groceries,No
144,46-55,Male,2-5L,Quarterly,10000.0,No,3-5,Mobile,Electronics,60.0,15.0,1000.0,Fashion,Yes
146,26-35,Male,>20L,Quarterly,5000.0,No,3-5,Mobile,Electronics,60.0,15.0,5000.0,Fashion,No
148,46-55,Male,5L-10L,Weekly,5000.0,Yes,3-5,Mobile,Home & Furniture,30.0,7.0,1000.0,Electronics,Yes
149,36-45,Male,<2L,Quarterly,10000.0,Yes,<1,Mobile,Home & Furniture,30.0,30.0,500.0,Fashion,Yes
150,18-25,Male,10-20L,Weekly,15000.0,No,<1,Desktop,Fashion,30.0,30.0,1000.0,Home & Furniture,Yes
151,55+,Male,<2,Rarely,12000.0,Yes,3-5,Mobile,Fashion,20.0,30.0,10000.0,Electronics,No
152,55+,Female,10-20L,Weekly,10000.0,Yes,5+,Mobile,Fashion,10.0,15.0,1000.0,Home & Furniture,No
154,46-55,Male,<2L,Quarterly,10000.0,Yes,1-3,Both,Fashion,10.0,30.0,500.0,Books,No
156,46-55,Male,<2,Quarterly,10000.0,No,<1,Desktop,Fashion,15.0,7.0,1000.0,Electronics,Yes
157,55+,Male,5-10L,Weekly,12000.0,Yes,5+,Desktop,Home & Furniture,15.0,30.0,500.0,Fashion,No
158,46-55,Male,5-10L,Weekly,5000.0,No,1-3,Mobile,Fashion,30.0,7.0,500.0,Books,No
159,55+,Male,2-5L,Quarterly,10000.0,Yes,3-5,Mobile,Fashion,60.0,60.0,1000.0,Electronics,Yes
160,55+,Male,2-5L,Weekly,3000.0,No,3-5,Desktop,Electronics,15.0,30.0,500.0,Fashion,Yes
161,18-25,Female,5-10L,Bi-weekly,10000.0,Yes,<1,Mobile,Books,20.0,60.0,1000.0,Electronics,No
162,55+,Male,5-10L,Weekly,5000.0,No,<1,Both,Fashion,25.0,30.0,2000.0,Electronics,Yes
163,26-35,Male,5-10L,Quarterly,10000.0,No,3-5,Desktop,Books,30.0,30.0,5000.0,Groceries,No
164,55+,Male,>20L,Weekly,5000.0,Yes,<1,Mobile,Books,10.0,60.0,1000.0,Home & Furniture,No
165,46-55,Female,2-5L,Weekly,5000.0,Yes,3-5,Mobile,Electronics,10.0,7.0,1000.0,Fashion,No
166,36-45,Female,5L-10L,Quarterly,10000.0,Yes,5+,Desktop,Fashion,10.0,7.0,1000.0,Fashion,No
168,55+,Female,5-10L,Weekly,10000.0,No,1-3,Mobile,Groceries,30.0,7.0,5000.0,Books,No
170,55+,Male,10-20L,Weekly,5000.0,No,<1,Mobile,Fashion,40.0,7.0,2000.0,Fashion,Yes
171,26-35,Male,<2L,Weekly,7000.0,No,3-5,Mobile,Books,60.0,30.0,500.0,Fashion,Yes
172,46-55,Male,5L-10L,Weekly,10000.0,No,3-5,Mobile,Electronics,25.0,60.0,2000.0,Groceries,Yes
173,26-35,Male,2-5L,Rarely,15000.0,No,<1,Mobile,Books,50.0,30.0,5000.0,Fashion,No
175,26-35,Male,5-10L,Monthly,7000.0,No,5+,Mobile,Books,30.0,15.0,10000.0,Home & Furniture,Yes
176,18-25,Male,5-10L,Weekly,15000.0,Yes,5+,Mobile,Home & Furniture,50.0,60.0,5000.0,Groceries,Yes
178,55+,Male,<2,Weekly,15000.0,Yes,3-5,Mobile,Electronics,30.0,7.0,500.0,Electronics,No
179,55+,Male,2-5L,Rarely,10000.0,Yes,5+,Mobile,Electronics,10.0,60.0,1000.0,Fashion,No
180,55+,Male,>20L,Quarterly,5000.0,No,3-5,Mobile,Electronics,50.0,60.0,1000.0,Fashion,No
181,55+,Male,5L-10L,Quarterly,10000.0,Yes,5+,Mobile,Home & Furniture,30.0,30.0,5000.0,Books,Yes
182,55+,Male,10-20L,Quarterly,5000.0,No,1-3,Mobile,Home & Furniture,60.0,15.0,1000.0,Home & Furniture,No
183,46-55,Male,2-5L,Quarterly,10000.0,No,<1,Mobile,Fashion,50.0,60.0,500.0,Home & Furniture,Yes
184,36-45,Male,<2,Quarterly,3000.0,Yes,3-5,Both,Home & Furniture,20.0,60.0,1000.0,Home & Furniture,Yes
185,55+,Male,5-10L,Quarterly,10000.0,No,<1,Mobile,Electronics,30.0,30.0,1000.0,Home & Furniture,No
187,36-45,Male,<2,Weekly,20000.0,No,<1,Mobile,Fashion,25.0,30.0,1000.0,Home & Furniture,Yes
188,18-25,Female,5-10L,Monthly,5000.0,Yes,5+,Mobile,Electronics,40.0,60.0,500.0,Home & Furniture,Yes
189,55+,Female,<2,Bi-weekly,3000.0,No,<1,Mobile,Books,30.0,7.0,1000.0,Fashion,No
190,26-35,Male,<2,Weekly,15000.0,No,5+,Both,Fashion,30.0,7.0,2000.0,Electronics,Yes
191,55+,Male,<2,Weekly,10000.0,Yes,1-3,Mobile,Electronics,60.0,60.0,1000.0,Home & Furniture,Yes
192,55+,Male,2-5L,Quarterly,10000.0,No,<1,Mobile,Electronics,30.0,60.0,1000.0,Books,Yes
193,18-25,Female,<2,Weekly,15000.0,No,5+,Mobile,Electronics,10.0,30.0,2000.0,Groceries,Yes
194,55+,Male,5L-10L,Monthly,7000.0,Yes,5+,Desktop,Fashion,30.0,30.0,2000.0,Groceries,No
195,55+,Female,2-5L,Monthly,7000.0,No,5+,Both,Fashion,20.0,7.0,500.0,Fashion,Yes
196,26-35,Female,5-10L,Quarterly,15000.0,No,3-5,Mobile,Fashion,50.0,60.0,500.0,Home & Furniture,No
197,55+,Male,5L-10L,Weekly,10000.0,Yes,1-3,Mobile,Electronics,50.0,60.0,1000.0,Fashion,No
198,55+,Male,<2L,Weekly,12000.0,No,1-3,Both,Books,40.0,7.0,500.0,Home & Furniture,Yes
199,26-35,Female,>20L,Weekly,15000.0,No,1-3,Desktop,Fashion,40.0,30.0,5000.0,Fashion,No
200,36-45,Female,5L-10L,Weekly,7000.0,Yes,5+,Mobile,Fashion,30.0,15.0,2000.0,Electronics,No
201,55+,Female,5-10L,Quarterly,15000.0,No,3-5,Mobile,Home & Furniture,20.0,30.0,500.0,Fashion,Yes
202,55+,Male,5L-10L,Weekly,5000.0,No,3-5,Desktop,Home & Furniture,15.0,60.0,2000.0,Electronics,No
203,36-45,Male,>20L,Weekly,15000.0,Yes,<1,Both,Electronics,30.0,60.0,1000.0,Groceries,No
204,18-25,Female,5-10L,Quarterly,10000.0,Yes,1-3,Mobile,Electronics,30.0,15.0,500.0,Home & Furniture,Yes
205,18-25,Female,5-10L,Monthly,10000.0,No,3-5,Mobile,Electronics,25.0,60.0,5000.0,Electronics,Yes
206,55+,Male,<2,Quarterly,10000.0,No,<1,Mobile,Home & Furniture,30.0,15.0,500.0,Books,Yes
207,18-25,Male,2-5L,Quarterly,15000.0,Yes,1-3,Mobile,Fashion,25.0,7.0,1000.0,Fashion,No
208,55+,Male,10-20L,Weekly,12000.0,Yes,<1,Both,Home & Furniture,15.0,15.0,2000.0,Fashion,No
209,18-25,Male,10-20L,Weekly,10000.0,Yes,<1,Mobile,Electronics,15.0,30.0,2000.0,Books,No
210,46-55,Male,5L-10L,Quarterly,20000.0,No,3-5,Mobile,Electronics,50.0,30.0,2000.0,Electronics,No
211,55+,Male,5-10L,Quarterly,10000.0,Yes,3-5,Mobile,Home & Furniture,30.0,7.0,5000.0,Groceries,No
212,46-55,Male,5-10L,Weekly,15000.0,Yes,1-3,Desktop,Home & Furniture,30.0,30.0,1000.0,Fashion,No
213,55+,Male,<2,Weekly,3000.0,No,<1,Desktop,Electronics,15.0,7.0,500.0,Home & Furniture,No
214,55+,Male,5-10L,Rarely,5000.0,Yes,3-5,Desktop,Books,60.0,15.0,5000.0,Fashion,No
215,55+,Female,2-5L,Quarterly,10000.0,No,<1,Desktop,Fashion,25.0,30.0,500.0,Home & Furniture,No
216,55+,Male,>20L,Quarterly,20000.0,No,<1,Both,Electronics,30.0,15.0,500.0,Fashion,No
217,18-25,Male,5-10L,Quarterly,5000.0,Yes,3-5,Mobile,Books,10.0,7.0,1000.0,Fashion,No
218,18-25,Female,>20L,Quarterly,7000.0,No,3-5,Desktop,Groceries,30.0,30.0,5000.0,Fashion,Yes
219,55+,Male,5-10L,Quarterly,3000.0,Yes,3-5,Both,Electronics,10.0,30.0,500.0,Groceries,No
220,36-45,Male,5-10L,Weekly,3000.0,Yes,1-3,Mobile,Books,30.0,7.0,500.0,Electronics,Yes
221,26-35,Male,<2L,Rarely,10000.0,Yes,1-3,Mobile,Fashion,50.0,7.0,2000.0,Home & Furniture,No
222,36-45,Male,<2L,Monthly,5000.0,No,3-5,Mobile,Books,10.0,15.0,1000.0,Fashion,No
224,55+,Male,5L-10L,Quarterly,15000.0,Yes,5+,Mobile,Fashion,20.0,30.0,2000.0,Home & Furniture,No
226,55+,Male,5-10L,Weekly,7000.0,Yes,1-3,Mobile,Electronics,25.0,30.0,2000.0,Electronics,No
228,55+,Male,>20L,Quarterly,10000.0,No,5+,Mobile,Electronics,30.0,60.0,1000.0,Groceries,No
229,46-55,Male,2-5L,Rarely,5000.0,No,3-5,Mobile,Books,30.0,60.0,1000.0,Electronics,Yes
230,18-25,Male,10-20L,Weekly,5000.0,Yes,<1,Mobile,Electronics,50.0,7.0,5000.0,Books,No
231,18-25,Male,2-5L,Rarely,5000.0,No,<1,Both,Electronics,15.0,15.0,1000.0,Home & Furniture,Yes
234,46-55,Male,10-20L,Bi-weekly,15000.0,Yes,3-5,Mobile,Fashion,15.0,30.0,1000.0,Home & Furniture,Yes
235,55+,Male,>20L,Weekly,10000.0,Yes,5+,Mobile,Electronics,20.0,7.0,5000.0,Home & Furniture,Yes
236,55+,Male,5-10L,Quarterly,5000.0,Yes,<1,Desktop,Electronics,30.0,30.0,2000.0,Electronics,Yes
237,36-45,Male,2-5L,Quarterly,7000.0,Yes,3-5,Mobile,Fashion,25.0,30.0,1000.0,Books,Yes
238,55+,Male,2-5L,Rarely,10000.0,Yes,5+,Mobile,Fashion,20.0,60.0,500.0,Home & Furniture,No
239,18-25,Male,>20L,Quarterly,5000.0,Yes,3-5,Desktop,Fashion,10.0,15.0,2000.0,Home & Furniture,No
240,18-25,Female,<2L,Quarterly,5000.0,Yes,1-3,Mobile,Electronics,30.0,30.0,5000.0,Fashion,Yes
241,55+,Male,2-5L,Bi-weekly,10000.0,No,<1,Mobile,Fashion,30.0,30.0,2000.0,Home & Furniture,Yes
242,55+,Male,>20L,Quarterly,7000.0,Yes,3-5,Mobile,Groceries,20.0,15.0,1000.0,Books,No
243,26-35,Female,<2,Quarterly,10000.0,Yes,1-3,Mobile,Home & Furniture,10.0,7.0,2000.0,Home & Furniture,No
244,46-55,Male,2-5L,Rarely,7000.0,Yes,3-5,Desktop,Books,30.0,7.0,500.0,Books,No
245,46-55,Male,5-10L,Weekly,10000.0,No,5+,Mobile,Electronics,30.0,7.0,500.0,Home & Furniture,Yes
246,55+,Male,5L-10L,Quarterly,10000.0,No,<1,Mobile,Home & Furniture,25.0,60.0,10000.0,Home & Furniture,Yes
247,46-55,Male,5-10L,Rarely,12000.0,No,<1,Mobile,Home & Furniture,20.0,7.0,5000.0,Electronics,Yes
248,36-45,Female,5-10L,Weekly,10000.0,Yes,1-3,Desktop,Groceries,60.0,30.0,1000.0,Home & Furniture,Yes
249,36-45,Male,5-10L,Weekly,3000.0,No,<1,Mobile,Electronics,30.0,7.0,5000.0,Books,No
250,55+,Male,<2L,Weekly,15000.0,Yes,3-5,Mobile,Home & Furniture,25.0,30.0,1000.0,Electronics,No
251,46-55,Female,5-10L,Monthly,10000.0,No,3-5,Mobile,Electronics,50.0,7.0,10000.0,Home & Furniture,Yes
252,55+,Male,>20L,Rarely,10000.0,Yes,1-3,Desktop,Fashion,30.0,30.0,500.0,Home & Furniture,Yes
253,36-45,Male,>20L,Rarely,5000.0,No,3-5,Both,Electronics,40.0,30.0,2000.0,Fashion,No
255,26-35,Male,5-10L,Quarterly,10000.0,Yes,5+,Mobile,Fashion,30.0,7.0,2000.0,Fashion,No
257,55+,Male,10-20L,Quarterly,12000.0,No,3-5,Both,Electronics,15.0,7.0,5000.0,Home & Furniture,Yes
258,18-25,Male,>20L,Weekly,10000.0,Yes,<1,Desktop,Electronics,30.0,60.0,5000.0,Fashion,No
259,18-25,Female,2-5L,Quarterly,12000.0,Yes,1-3,Mobile,Electronics,60.0,30.0,5000.0,Books,No
